account_id,customer_id,account_type
A001,C001,Savings
A002,C002,Savings
A003,C003,Business
A004,C004,Savings
A005,C005,Savings
A006,C006,Credit
A007,C007,Savings
A008,C008,Savings
A009,C009,Business
A010,C010,Savings
A011,C011,Savings
A012,C012,Savings
A013,C013,Savings
A014,C014,Savings
A015,C015,Savings
A016,C016,Savings
A017,C017,Savings
A018,C018,Business
A019,C019,Business
A020,C020,Savings
A021,C021,Savings
A022,C022,Savings
A023,C023,Savings
A024,C024,Savings
A025,C025,Savings
A026,C026,Credit
A027,C027,Business
A028,C028,Credit
A029,C029,Business
A030,C030,Savings
A031,C031,Savings
A032,C032,Credit
A033,C033,Savings
A034,C034,Savings
A035,C035,Savings
A036,C036,Business
A037,C037,Credit
A038,C038,Savings
A039,C039,Savings
A040,C040,Credit
A041,C041,Savings
A042,C042,Savings
A043,C043,Credit
A044,C044,Savings
A045,C045,Savings
A046,C046,Savings
A047,C047,Savings
A048,C048,Business
A049,C049,Savings
A050,C050,Credit
A051,C051,Credit
A052,C052,Savings
A053,C053,Savings
A054,C054,Savings
A055,C055,Savings
A056,C056,Savings
A057,C057,Credit
A058,C058,Savings
A059,C059,Savings
A060,C060,Savings
A061,C061,Credit
A062,C062,Savings
A063,C063,Savings
A064,C064,Credit
A065,C065,Savings
A066,C066,Savings
A067,C067,Business
A068,C068,Savings
A069,C069,Savings
A070,C070,Savings
A071,C071,Credit
A072,C072,Savings
A073,C073,Business
A074,C074,Savings
A075,C075,Credit
A076,C076,Savings
A077,C077,Savings
A078,C078,Savings
A079,C079,Savings
A080,C080,Credit
A081,C081,Savings
A082,C082,Business
A083,C083,Credit
A084,C084,Savings
A085,C085,Savings
A086,C086,Business
A087,C087,Business
A088,C088,Savings
A089,C089,Savings
A090,C090,Savings
A091,C091,Business
A092,C092,Savings
A093,C093,Savings
A094,C094,Savings
A095,C095,Savings
A096,C096,Savings
A097,C097,Savings
A098,C098,Savings
A099,C099,Savings
A100,C100,Credit
A101,C101,Savings
A102,C102,Savings
A103,C103,Savings
A104,C104,Credit
A105,C105,Savings
A106,C106,Savings
A107,C107,Credit
A108,C108,Savings
A109,C109,Savings
A110,C110,Savings
A111,C111,Savings
A112,C112,Savings
A113,C113,Credit
A114,C114,Business
A115,C115,Credit
A116,C116,Savings
A117,C117,Savings
A118,C118,Savings
A119,C119,Savings
A120,C120,Savings
A121,C121,Business
A122,C122,Savings
A123,C123,Savings
A124,C124,Credit
A125,C125,Savings
A126,C126,Savings
A127,C127,Business
A128,C128,Savings
A129,C129,Credit
A130,C130,Savings
A131,C131,Credit
A132,C132,Savings
A133,C133,Credit
A134,C134,Savings
A135,C135,Savings
A136,C136,Savings
A137,C137,Savings
A138,C138,Credit
A139,C139,Credit
A140,C140,Credit
A141,C141,Credit
A142,C142,Savings
A143,C143,Credit
A144,C144,Savings
A145,C145,Savings
A146,C146,Savings
A147,C147,Business
A148,C148,Savings
A149,C149,Savings
A150,C150,Savings
A151,C151,Savings
A152,C152,Savings
A153,C153,Savings
A154,C154,Credit
A155,C155,Savings
A156,C156,Credit
A157,C157,Credit
A158,C158,Savings
A159,C159,Business
A160,C160,Savings
A161,C161,Savings
A162,C162,Credit
A163,C163,Savings
A164,C164,Credit
A165,C165,Credit
A166,C166,Savings
A167,C167,Credit
A168,C168,Savings
A169,C169,Savings
A170,C170,Savings
A171,C171,Credit
A172,C172,Savings
A173,C173,Savings
A174,C174,Credit
A175,C175,Savings
A176,C176,Savings
A177,C177,Savings
A178,C178,Savings
A179,C179,Savings
A180,C180,Savings
A181,C181,Savings
A182,C182,Savings
A183,C183,Savings
A184,C184,Credit
A185,C185,Savings
A186,C186,Credit
A187,C187,Business
A188,C188,Savings
A189,C189,Credit
A190,C190,Savings
A191,C191,Savings
A192,C192,Business
A193,C193,Savings
A194,C194,Savings
A195,C195,Credit
A196,C196,Credit
A197,C197,Savings
A198,C198,Credit
A199,C199,Credit
A200,C200,Credit
