customer_id,age,city,signup_date
C001,28,Mumbai,2024-12-19
C002,38,Delhi,2026-04-24
C003,35,Delhi,2025-09-04
C004,27,Chennai,2026-01-24
C005,55,Mumbai,2025-04-04
C006,58,Pune,2025-03-30
C007,23,Mumbai,2026-04-14
C008,26,Delhi,2026-05-02
C009,35,Hyderabad,2026-04-18
C010,59,Mumbai,2024-12-25
C011,56,Delhi,2025-03-09
C012,55,Pune,2024-11-28
C013,35,Pune,2026-05-10
C014,58,Bangalore,2024-08-23
C015,21,Delhi,2025-02-18
C016,48,Bangalore,2025-12-12
C017,38,Delhi,2025-08-13
C018,34,Bangalore,2026-01-24
C019,27,Mumbai,2025-04-03
C020,45,Mumbai,2024-12-15
C021,43,Bangalore,2026-02-05
C022,59,Bangalore,2024-10-02
C023,23,Chennai,2025-09-27
C024,50,Hyderabad,2024-12-26
C025,28,Pune,2025-08-02
C026,26,Hyderabad,2025-05-03
C027,39,Chennai,2024-08-25
C028,60,Bangalore,2025-06-26
C029,57,Delhi,2024-08-06
C030,25,Mumbai,2025-02-03
C031,35,Bangalore,2024-10-06
C032,26,Delhi,2025-04-12
C033,27,Pune,2024-07-21
C034,38,Pune,2025-02-05
C035,44,Delhi,2024-10-12
C036,44,Bangalore,2024-08-24
C037,34,Chennai,2025-03-24
C038,38,Chennai,2025-05-05
C039,25,Hyderabad,2024-07-09
C040,31,Hyderabad,2024-07-02
C041,36,Delhi,2026-01-10
C042,50,Pune,2024-09-07
C043,38,Chennai,2024-07-24
C044,56,Delhi,2025-02-22
C045,41,Mumbai,2024-10-15
C046,35,Mumbai,2024-09-11
C047,41,Pune,2025-12-13
C048,38,Mumbai,2025-02-24
C049,34,Hyderabad,2025-06-20
C050,41,Delhi,2024-07-17
C051,52,Pune,2025-04-16
C052,50,Delhi,2026-05-02
C053,37,Delhi,2024-11-22
C054,36,Chennai,2025-11-18
C055,56,Hyderabad,2025-07-05
C056,37,Chennai,2024-08-15
C057,58,Pune,2025-12-01
C058,58,Pune,2025-03-02
C059,44,Delhi,2025-12-24
C060,29,Hyderabad,2024-07-07
C061,52,Mumbai,2025-05-15
C062,24,Mumbai,2026-03-04
C063,30,Chennai,2024-08-12
C064,31,Chennai,2024-08-26
C065,48,Hyderabad,2025-12-08
C066,25,Pune,2025-04-23
C067,45,Hyderabad,2024-10-26
C068,50,Hyderabad,2026-05-21
C069,37,Hyderabad,2026-03-17
C070,21,Chennai,2025-02-02
C071,28,Chennai,2025-04-05
C072,55,Bangalore,2026-05-26
C073,42,Mumbai,2025-01-28
C074,39,Pune,2025-02-24
C075,31,Pune,2025-08-12
C076,21,Chennai,2026-04-17
C077,37,Hyderabad,2025-09-28
C078,32,Hyderabad,2026-04-25
C079,27,Chennai,2026-02-19
C080,40,Chennai,2025-04-20
C081,53,Hyderabad,2024-08-28
C082,33,Delhi,2024-12-23
C083,44,Delhi,2026-03-02
C084,55,Hyderabad,2025-11-24
C085,21,Hyderabad,2026-02-14
C086,41,Pune,2025-06-25
C087,22,Mumbai,2025-09-04
C088,44,Bangalore,2024-07-15
C089,36,Mumbai,2025-11-22
C090,36,Hyderabad,2026-04-14
C091,26,Mumbai,2025-06-05
C092,52,Mumbai,2025-04-24
C093,55,Delhi,2026-02-21
C094,29,Chennai,2025-04-25
C095,51,Hyderabad,2026-02-09
C096,31,Bangalore,2026-05-15
C097,54,Hyderabad,2026-05-01
C098,48,Delhi,2026-05-26
C099,55,Chennai,2025-11-24
C100,33,Chennai,2026-05-17
C101,40,Pune,2024-11-02
C102,44,Pune,2024-06-28
C103,54,Pune,2024-06-08
C104,28,Delhi,2025-06-08
C105,35,Mumbai,2025-10-21
C106,42,Mumbai,2025-09-25
C107,58,Hyderabad,2025-07-21
C108,35,Hyderabad,2025-11-23
C109,35,Mumbai,2025-09-23
C110,25,Chennai,2024-09-27
C111,24,Delhi,2025-09-14
C112,25,Mumbai,2026-04-22
C113,42,Mumbai,2025-05-31
C114,53,Delhi,2025-07-04
C115,38,Chennai,2024-11-09
C116,52,Delhi,2025-03-13
C117,55,Delhi,2026-01-23
C118,57,Hyderabad,2024-10-21
C119,51,Delhi,2025-03-12
C120,51,Pune,2025-02-14
C121,33,Mumbai,2025-01-28
C122,27,Chennai,2025-02-13
C123,48,Bangalore,2026-04-17
C124,48,Pune,2026-02-28
C125,50,Chennai,2025-04-02
C126,24,Chennai,2025-01-08
C127,27,Mumbai,2025-07-25
C128,46,Chennai,2025-11-13
C129,42,Mumbai,2024-08-18
C130,36,Delhi,2025-05-13
C131,33,Hyderabad,2026-02-23
C132,49,Delhi,2025-03-29
C133,48,Delhi,2024-10-14
C134,38,Pune,2025-01-21
C135,36,Mumbai,2026-04-07
C136,49,Hyderabad,2025-04-21
C137,27,Mumbai,2024-09-08
C138,55,Mumbai,2026-02-19
C139,26,Delhi,2025-05-10
C140,31,Pune,2025-06-03
C141,52,Pune,2025-02-08
C142,34,Pune,2025-05-19
C143,24,Delhi,2025-07-27
C144,45,Mumbai,2024-06-24
C145,45,Bangalore,2025-09-17
