transaction_id,account_id,transaction_date,transaction_type,merchant,transaction_category,amount,transaction_status,fraud_flag,running_balance
1,A017,2023-01-01 11:37:00,credit,Salary Deposit,Income,34596,Success,0,68026
2,A052,2023-01-01 01:36:00,credit,Salary Deposit,Income,64222,Success,0,82127
3,A057,2023-01-01 12:21:00,credit,Salary Deposit,Income,257859,Success,0,283678
4,A062,2023-01-01 09:09:00,credit,Salary Deposit,Income,81885,Success,0,99285
5,A037,2023-01-01 17:40:00,credit,Salary Deposit,Income,99389,Success,0,145986
6,A065,2023-01-01 15:35:00,credit,Salary Deposit,Income,109603,Success,0,134543
7,A106,2023-01-01 16:46:00,credit,Salary Deposit,Income,37716,Success,0,64556
8,A157,2023-01-01 09:50:00,credit,Salary Deposit,Income,82686,Pending,0,103906
9,A141,2023-01-01 00:11:00,credit,Salary Deposit,Income,65339,Success,0,94976
10,A115,2023-01-01 02:01:00,credit,Salary Deposit,Income,68153,Success,0,83709
11,A025,2023-01-01 08:39:00,credit,Salary Deposit,Income,111238,Success,0,137559
12,A034,2023-01-01 18:30:00,credit,Salary Deposit,Income,117174,Success,0,143631
13,A004,2023-01-02 14:23:00,credit,Salary Deposit,Income,116182,Success,0,129733
14,A096,2023-01-02 06:15:00,credit,Salary Deposit,Income,113190,Success,0,143580
15,A173,2023-01-02 01:06:00,credit,Salary Deposit,Income,102400,Success,0,145430
16,A096,2023-01-02 18:55:00,credit,Salary Deposit,Income,100349,Success,0,243929
17,A125,2023-01-02 23:01:00,credit,Salary Deposit,Income,63529,Success,0,74745
18,A038,2023-01-02 00:30:00,credit,Salary Deposit,Income,32610,Success,0,48495
19,A125,2023-01-03 02:35:00,credit,Salary Deposit,Income,67228,Success,0,141973
20,A019,2023-01-03 06:02:00,credit,Salary Deposit,Income,93410,Success,0,134767
21,A140,2023-01-03 19:05:00,credit,Salary Deposit,Income,107782,Failed,0,155157
22,A120,2023-01-03 15:24:00,credit,Salary Deposit,Income,111984,Success,0,150623
23,A051,2023-01-03 22:29:00,credit,Salary Deposit,Income,39045,Success,0,69724
24,A090,2023-01-03 00:36:00,credit,Salary Deposit,Income,99223,Success,0,148798
25,A041,2023-01-03 03:14:00,credit,Salary Deposit,Income,53714,Success,0,73116
26,A049,2023-01-03 04:16:00,credit,Salary Deposit,Income,68769,Success,0,102710
27,A145,2023-01-03 23:21:00,credit,Salary Deposit,Income,116196,Success,0,131400
28,A019,2023-01-03 07:11:00,credit,Salary Deposit,Income,79898,Pending,0,214665
29,A104,2023-01-03 15:25:00,credit,Salary Deposit,Income,41857,Success,0,66786
30,A111,2023-01-03 04:12:00,credit,Salary Deposit,Income,87684,Success,0,113688
31,A148,2023-01-03 03:08:00,credit,Salary Deposit,Income,34668,Success,0,61243
32,A178,2023-01-03 00:42:00,credit,Salary Deposit,Income,55084,Success,0,65908
33,A115,2023-01-03 06:56:00,credit,Salary Deposit,Income,100325,Failed,0,184034
34,A188,2023-01-04 11:21:00,credit,Salary Deposit,Income,99991,Success,0,123596
35,A107,2023-01-04 19:50:00,credit,Salary Deposit,Income,119680,Success,0,136103
36,A200,2023-01-04 22:46:00,credit,Salary Deposit,Income,80130,Success,0,109877
37,A088,2023-01-04 15:13:00,credit,Salary Deposit,Income,69228,Success,0,100650
38,A023,2023-01-04 03:49:00,credit,Salary Deposit,Income,96648,Success,0,135756
39,A042,2023-01-04 00:39:00,credit,Salary Deposit,Income,56436,Success,0,85545
40,A079,2023-01-05 22:11:00,credit,Salary Deposit,Income,63414,Success,0,112158
41,A097,2023-01-05 23:52:00,credit,Salary Deposit,Income,104414,Pending,0,147251
42,A091,2023-01-05 17:05:00,credit,Salary Deposit,Income,65967,Pending,0,102886
43,A062,2023-01-05 08:35:00,credit,Salary Deposit,Income,89325,Pending,0,188610
44,A089,2023-01-05 11:25:00,credit,Salary Deposit,Income,85356,Success,0,118091
45,A042,2023-01-05 21:44:00,credit,Salary Deposit,Income,46254,Pending,0,131799
46,A087,2023-01-05 15:07:00,credit,Salary Deposit,Income,92093,Success,0,119717
47,A095,2023-01-05 07:27:00,credit,Salary Deposit,Income,114780,Success,0,133665
48,A117,2023-01-05 07:41:00,credit,Salary Deposit,Income,93851,Success,0,129162
49,A023,2023-01-05 17:38:00,credit,Salary Deposit,Income,78878,Success,0,214634
50,A191,2023-01-05 14:17:00,credit,Salary Deposit,Income,74957,Pending,0,121722
51,A186,2023-01-05 22:07:00,credit,Salary Deposit,Income,294996,Success,0,317961
52,A050,2023-01-06 00:48:00,debit,Flipkart,Shopping,1598,Success,0,45336
53,A118,2023-01-06 13:41:00,debit,Zomato,Food,6017,Success,0,42848
54,A079,2023-01-06 08:08:00,debit,Flipkart,Shopping,783,Success,0,111375
55,A179,2023-01-06 05:33:00,debit,Uber,Transport,22707,Success,0,15454
56,A079,2023-01-06 22:47:00,debit,Netflix,Entertainment,6582,Success,0,104793
57,A195,2023-01-07 17:33:00,debit,BigBasket,Groceries,3326,Success,0,15056
58,A023,2023-01-07 16:59:00,credit,Swiggy,Food,7058,Success,0,221692
59,A050,2023-01-07 08:19:00,debit,Croma,Electronics,3137,Success,0,42199
60,A135,2023-01-07 16:05:00,debit,Flipkart,Shopping,8790,Success,0,11654
61,A130,2023-01-07 22:45:00,credit,Swiggy,Food,5904,Success,0,43586
62,A176,2023-01-07 18:42:00,credit,Uber,Transport,27156,Success,0,68388
63,A062,2023-01-07 01:10:00,debit,Amazon,Shopping,4589,Success,0,184021
64,A026,2023-01-07 18:55:00,debit,Amazon,Shopping,13267,Success,0,35364
65,A130,2023-01-07 17:49:00,debit,Croma,Electronics,5683,Success,0,37903
66,A039,2023-01-07 05:45:00,debit,Swiggy,Food,2951,Success,0,33929
67,A186,2023-01-07 22:41:00,credit,Flipkart,Shopping,28245,Success,0,346206
68,A113,2023-01-07 19:24:00,debit,BigBasket,Groceries,9751,Success,0,8524
69,A172,2023-01-07 21:44:00,credit,Croma,Electronics,7316,Success,0,54793
70,A045,2023-01-07 19:45:00,credit,Zomato,Food,5910,Success,0,27939
71,A198,2023-01-08 05:24:00,credit,Zomato,Food,7718,Success,0,49506
72,A074,2023-01-08 23:11:00,debit,Netflix,Entertainment,10745,Success,0,34019
73,A094,2023-01-08 05:21:00,debit,Amazon,Shopping,3804,Success,0,11161
74,A094,2023-01-08 18:01:00,credit,Zomato,Food,13683,Success,0,24844
75,A034,2023-01-08 05:15:00,debit,BigBasket,Groceries,5862,Success,0,137769
76,A150,2023-01-08 04:41:00,debit,Croma,Electronics,8880,Success,0,19430
77,A004,2023-01-08 16:21:00,debit,Croma,Electronics,3742,Success,0,125991
78,A039,2023-01-08 12:34:00,credit,Amazon,Shopping,11878,Success,0,45807
79,A001,2023-01-08 13:34:00,debit,Zomato,Food,13470,Success,0,21819
80,A162,2023-01-08 22:50:00,debit,Zomato,Food,8136,Success,0,9180
81,A145,2023-01-09 21:47:00,debit,Croma,Electronics,7199,Success,0,124201
82,A109,2023-01-09 14:04:00,credit,Swiggy,Food,1952,Failed,0,43642
83,A189,2023-01-09 22:34:00,debit,Zomato,Food,3870,Success,0,9312
84,A170,2023-01-09 13:39:00,debit,BigBasket,Groceries,5025,Success,0,32828
85,A144,2023-01-09 04:47:00,debit,BigBasket,Groceries,7962,Success,0,32430
86,A002,2023-01-09 00:37:00,debit,BigBasket,Groceries,6556,Success,0,25923
87,A117,2023-01-09 02:58:00,debit,Uber,Transport,4822,Success,0,124340
88,A005,2023-01-09 03:16:00,debit,Swiggy,Food,12081,Success,0,28780
89,A045,2023-01-09 05:41:00,debit,Zomato,Food,7762,Success,0,20177
90,A198,2023-01-09 12:16:00,credit,Croma,Electronics,4502,Success,0,54008
91,A118,2023-01-09 06:00:00,debit,Swiggy,Food,520,Success,0,42328
92,A136,2023-01-09 17:01:00,credit,Amazon,Shopping,2489,Success,0,40277
93,A137,2023-01-09 21:20:00,credit,Swiggy,Food,4075,Success,0,48276
94,A186,2023-01-09 11:19:00,debit,Zomato,Food,19728,Success,0,326478
95,A197,2023-01-09 08:49:00,debit,Netflix,Entertainment,3356,Failed,0,43497
96,A125,2023-01-10 23:09:00,debit,Amazon,Shopping,5643,Success,0,136330
97,A010,2023-01-10 15:44:00,debit,Croma,Electronics,12801,Success,0,8068
98,A127,2023-01-10 05:34:00,debit,BigBasket,Groceries,6117,Success,0,6515
99,A146,2023-01-10 10:19:00,debit,BigBasket,Groceries,518,Pending,0,45949
100,A146,2023-01-10 13:52:00,debit,Uber,Transport,2197,Success,0,43752
101,A044,2023-01-10 09:06:00,debit,Suspicious Transfer,Fraud,198698,Success,1,-161908
102,A133,2023-01-10 16:01:00,debit,Netflix,Entertainment,1920,Success,0,41248
103,A033,2023-01-10 19:00:00,debit,Flipkart,Shopping,3985,Success,0,35682
104,A189,2023-01-10 13:28:00,debit,Zomato,Food,2897,Success,0,6415
105,A025,2023-01-10 07:25:00,credit,Uber,Transport,7564,Success,0,145123
106,A133,2023-01-11 06:12:00,debit,Flipkart,Shopping,1646,Pending,0,39602
107,A120,2023-01-11 16:37:00,debit,Swiggy,Food,6315,Success,0,144308
108,A021,2023-01-11 21:15:00,debit,Suspicious Transfer,Fraud,114304,Success,1,-103711
109,A013,2023-01-11 10:37:00,debit,Zomato,Food,1473,Success,0,13248
110,A065,2023-01-11 19:41:00,credit,Uber,Transport,4961,Success,0,139504
111,A077,2023-01-11 13:26:00,debit,Netflix,Entertainment,4097,Success,0,29659
112,A063,2023-01-11 00:48:00,debit,BigBasket,Groceries,1914,Success,0,20698
113,A052,2023-01-11 16:50:00,credit,Netflix,Entertainment,4399,Failed,0,86526
114,A090,2023-01-11 10:46:00,debit,Swiggy,Food,322,Success,0,148476
115,A103,2023-01-11 10:35:00,debit,Flipkart,Shopping,15246,Success,0,12978
116,A122,2023-01-11 09:28:00,debit,Uber,Transport,5157,Success,0,15041
117,A102,2023-01-11 09:07:00,credit,Flipkart,Shopping,5932,Success,0,17839
118,A132,2023-01-11 23:02:00,debit,Amazon,Shopping,2605,Failed,0,18706
119,A197,2023-01-11 20:09:00,debit,Swiggy,Food,6764,Failed,0,36733
120,A136,2023-01-11 03:02:00,debit,Flipkart,Shopping,6868,Success,0,33409
121,A002,2023-01-12 00:09:00,debit,BigBasket,Groceries,4523,Success,0,21400
122,A029,2023-01-12 12:39:00,debit,Zomato,Food,3608,Success,0,6415
123,A038,2023-01-12 02:42:00,debit,BigBasket,Groceries,7998,Success,0,40497
124,A054,2023-01-12 19:05:00,debit,BigBasket,Groceries,4634,Success,0,31340
125,A176,2023-01-12 17:12:00,debit,Croma,Electronics,9372,Failed,0,59016
126,A067,2023-01-12 14:28:00,credit,BigBasket,Groceries,4026,Success,0,27905
